# dist[pix]   dist[pc]   x_peak[pix]    y_peak[pix]   width_left[pix]    width_left[pc]   width_right[pix]  width_right[pc]    peak_flux   good_fit
45.69  18.09  1037.40  507.39  8.50  3.37  8.28  3.28  117.21   1
46.81  18.54  1030.75  508.00  10.14  4.02  8.29  3.28  158.57   1
47.96  18.99  1022.98  505.54  14.31  5.67  3.24  1.28  200.02   1
49.14  19.46  1016.28  508.97  17.02  6.74  6.08  2.41  215.89   1
50.34  19.94  1010.08  513.28  12.97  5.14  7.68  3.04  210.58   1
51.58  20.43  1004.86  518.88  9.04  3.58  8.30  3.29  187.82   1
52.37  20.74  999.19  521.34  11.04  4.37  6.83  2.70  180.85   1
53.19  21.06  994.77  526.67  12.05  4.77  7.28  2.88  151.14   1
54.04  21.40  993.59  534.03  9.91  3.93  10.88  4.31  106.66   1
54.89  21.74  993.40  541.26  7.71  3.05  11.50  4.55  115.28   1
56.21  22.26  988.87  545.40  9.88  3.91  8.56  3.39  79.30   1
58.28  23.08  989.95  553.15  6.60  2.61  11.81  4.68  96.51   1
60.43  23.93  984.19  558.60  10.66  4.22  7.82  3.10  108.89   1
61.66  24.42  985.24  563.42  8.49  3.36  9.01  3.57  77.20   1
63.34  25.08  983.49  569.89  9.79  3.88  7.79  3.08  62.03   1
65.06  25.77  983.41  576.74  9.68  3.83  7.13  2.82  47.43   1
67.11  26.57  982.12  580.84  7.42  2.94  7.41  2.93  66.55   1
70.94  28.09  980.92  588.56  9.54  3.78  7.66  3.03  68.98   1
73.42  29.08  982.16  593.64  9.00  3.56  9.26  3.67  65.61   1
76.65  30.35  981.31  601.09  9.06  3.59  7.08  2.80  114.53   1
80.02  31.69  984.10  608.28  7.80  3.09  6.83  2.71  90.45   1
82.78  32.78  990.77  612.71  5.33  2.11  7.64  3.02  95.37   1
85.75  33.96  990.60  620.33  6.72  2.66  6.33  2.51  57.29   1
88.82  35.17  990.36  628.87  5.74  2.27  3.91  1.55  45.65   1
90.12  35.69  995.82  632.66  3.27  1.29  3.99  1.58  88.65   1
90.90  36.00  1001.73  635.50  3.55  1.40  6.17  2.44  95.56   1
91.69  36.31  1006.28  640.37  4.06  1.61  7.36  2.92  95.91   1
93.25  36.93  1007.20  644.68  6.81  2.70  3.97  1.57  136.36   1
96.18  38.09  1013.61  648.61  5.33  2.11  5.29  2.09  154.84   1
99.20  39.28  1020.28  652.24  6.50  2.57  5.64  2.23  138.18   1
102.32  40.52  1026.60  656.45  6.83  2.71  5.24  2.08  88.82   1
