# dist[pix]   dist[pc]   x_peak[pix]    y_peak[pix]   width_left[pix]    width_left[pc]   width_right[pix]  width_right[pc]    peak_flux   good_fit
37.66  14.91  1077.38  578.76  6.64  2.63  2.72  1.08  99.31   1
49.71  19.69  1091.84  576.64  6.59  2.61  5.78  2.29  117.20   1
59.01  23.37  1103.17  572.70  7.33  2.90  16.99  6.73  31.37   1
61.77  24.46  1103.18  564.17  6.25  2.48  9.14  3.62  76.93   1
64.65  25.60  1110.10  560.13  7.57  3.00  10.41  4.12  106.07   1
67.74  26.83  1120.75  557.43  18.18  7.20  4.63  1.83  66.18   1
71.14  28.17  1106.88  543.30  3.12  1.24  22.34  8.85  47.78   1
74.71  29.58  1123.04  540.90  15.49  6.14  7.59  3.00  43.33   1
75.41  29.86  1126.18  534.57  16.65  6.59  6.27  2.48  44.10   1
76.03  30.11  1120.52  528.83  11.13  4.41  9.84  3.90  39.37   1
76.66  30.36  1115.68  523.49  3.36  1.33  13.08  5.18  40.84   1
77.29  30.61  1115.14  516.78  6.69  2.65  6.17  2.44  66.38   1
77.93  30.86  1105.38  514.46  4.85  1.92  10.73  4.25  30.48   1
78.57  31.11  1101.38  509.90  1.52  0.60  1.52  0.60  19.63   0
