# center_line_x  center_line_y  left_border_x  left_border_y   right_border_x   right_border_y
1037.40  507.39  1037.42  515.92  1037.37  499.14
1030.75  508.00  1032.10  517.74  1029.56  499.48
1022.98  505.54  1026.89  519.44  1022.14  502.54
1016.28  508.97  1023.04  524.52  1013.83  503.34
1010.08  513.28  1016.86  524.45  1006.14  506.80
1004.86  518.88  1010.60  525.96  999.68  512.49
999.19  521.34  1007.57  529.04  994.41  516.95
994.77  526.67  1004.85  533.92  989.15  522.63
993.59  534.03  1002.50  538.95  984.29  528.90
993.40  541.26  1001.06  544.36  983.26  537.15
988.87  545.40  997.54  549.77  981.07  541.47
989.95  553.15  995.99  555.39  978.73  548.99
984.19  558.60  994.54  561.16  976.60  556.72
985.24  563.42  993.68  564.41  976.30  562.37
983.49  569.89  993.32  570.04  975.75  569.78
983.41  576.74  993.04  575.91  976.29  577.36
982.12  580.84  989.58  581.78  974.87  579.93
980.92  588.56  990.32  588.84  973.12  588.32
982.16  593.64  990.68  592.90  972.49  594.48
981.31  601.09  990.18  599.56  974.28  602.30
984.10  608.28  991.80  606.27  977.64  609.97
990.77  612.71  995.71  610.83  983.60  615.44
990.60  620.33  996.93  617.35  985.12  622.91
990.36  628.87  995.22  626.11  986.83  630.88
995.82  632.66  997.95  630.07  993.34  635.67
1001.73  635.50  1003.65  632.81  998.00  640.73
1006.28  640.37  1008.56  636.65  1002.59  646.38
1007.20  644.68  1011.86  640.26  1004.05  647.68
1013.61  648.61  1017.43  644.46  1010.24  652.27
1020.28  652.24  1024.09  647.49  1016.50  656.95
1026.60  656.45  1030.51  650.85  1023.60  660.76
