# center_line_x  center_line_y  left_border_x  left_border_y   right_border_x   right_border_y
1077.38  578.76  1077.55  571.92  1077.32  581.28
1091.84  576.64  1090.95  570.29  1092.67  582.54
1103.17  572.70  1097.06  567.52  1115.61  583.25
1103.18  564.17  1097.79  560.49  1110.51  569.16
1110.10  560.13  1103.52  556.59  1119.36  565.10
1120.75  557.43  1104.98  549.49  1125.35  559.75
1106.88  543.30  1103.61  542.02  1127.33  551.29
1123.04  540.90  1107.92  536.57  1130.11  542.92
1126.18  534.57  1109.71  537.14  1132.35  533.61
1120.52  528.83  1109.76  531.43  1130.15  526.51
1115.68  523.49  1112.05  524.68  1127.66  519.52
1115.14  516.78  1108.89  519.43  1120.73  514.40
1105.38  514.46  1100.68  516.94  1114.47  509.68
1101.38  509.90  1100.39  510.53  1102.96  508.90
