# Fit results:
# amplitude = 77.1984
# peak_pos[pc] = 5.5420
# width_left[pc] = 3.3626
# width_right[pc] = 3.5675
# chi_sq = 25.582
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -7.04    3.23    0.00
   0.27    0.07    3.53    0.68
   0.54    6.97    3.78    1.37
   0.81   13.21    4.31    2.05
   1.08   18.65    4.55    2.74
   1.36   24.41    4.92    3.42
   1.63   29.93    5.90    4.11
   1.90   32.94    7.06    4.79
   2.17   36.13    8.22    5.48
   2.44   39.62    9.35    6.16
   2.71   43.62   10.42    6.85
   2.98   47.73   11.38    7.53
   3.25   51.89   12.11    8.22
   3.53   55.99   12.78    8.90
   3.80   59.47   13.41    9.59
   4.07   62.35   13.96   10.27
   4.34   64.58   14.51   10.96
   4.61   66.27   15.11   11.64
   4.88   67.57   15.63   12.33
   5.15   68.65   16.12   13.01
   5.42   69.34   16.71   13.70
   5.69   69.82   17.13   14.38
   5.97   70.25   17.53   15.06
   6.24   69.67   18.05   15.75
   6.51   68.61   18.29   16.43
   6.78   67.34   18.63   17.12
   7.05   64.32   19.12   17.80
   7.32   60.73   19.23   18.49
   7.59   56.78   19.23   19.17
   7.86   51.67   19.25   19.86
   8.13   46.39   18.92   20.54
   8.41   41.18   18.25   21.23
   8.68   36.35   17.43   21.91
   8.95   31.59   16.34   22.60
   9.22   26.89   14.99   23.28
   9.49   22.55   13.49   23.97
   9.76   18.34   11.91   24.65
  10.03   14.32   10.29   25.34
  10.30   10.67    8.74   26.02
  10.58    7.50    7.30   26.71
  10.85    4.67    6.08   27.39
  11.12    2.15    5.12   28.07
  11.39   -0.03    4.36   28.76
