# Fit results:
# amplitude = 76.9941
# peak_pos[pc] = 4.6464
# width_left[pc] = 2.4769
# width_right[pc] = 3.6182
# chi_sq = 13.111
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -3.97   10.15    0.00
   0.27   -0.20    9.82    0.68
   0.54    4.17    9.42    1.37
   0.81    8.90    9.15    2.05
   1.08   13.86    9.17    2.73
   1.35   18.64    9.54    3.42
   1.62   23.57   10.21    4.10
   1.89   29.25   11.08    4.78
   2.16   36.07   12.43    5.46
   2.43   43.40   14.41    6.15
   2.70   49.78   16.79    6.83
   2.98   54.43   19.22    7.51
   3.25   58.44   21.04    8.20
   3.52   60.43   21.90    8.88
   3.79   62.34   22.10    9.56
   4.06   64.00   21.78   10.25
   4.33   65.98   21.11   10.93
   4.60   68.26   20.50   11.61
   4.87   69.85   19.94   12.29
   5.14   71.03   19.50   12.98
   5.41   71.15   19.08   13.66
   5.68   70.26   18.61   14.34
   5.95   68.24   18.11   15.03
   6.22   65.41   17.70   15.71
   6.49   61.73   17.55   16.39
   6.76   57.07   17.60   17.08
   7.03   50.42   17.34   17.76
   7.30   43.01   16.36   18.44
   7.57   36.14   14.34   19.12
   7.84   30.16   11.54   19.81
   8.11   24.41    8.24   20.49
   8.38   21.84    5.21   21.17
   8.66   20.02    3.04   21.86
   8.93   17.95    2.77   22.54
   9.20   15.44    4.27   23.22
   9.47   12.08    6.32   23.91
   9.74   11.26    8.42   24.59
  10.01   11.22   10.35   25.27
  10.28   11.27   11.90   25.96
  10.55   12.00   13.02   26.64
  10.82   12.39   13.93   27.32
  11.09   11.03   14.58   28.00
  11.36    8.85   15.14   28.69
  11.63    6.68   15.57   29.37
  11.90    3.55   15.73   30.05
  12.17    0.04   15.68   30.74
