# dist[pix]   dist[pc]   x_peak[pix]    y_peak[pix]   width_left[pix]    width_left[pc]   width_right[pix]  width_right[pc]    peak_flux   good_fit
104.48  41.37  206.66  233.91  11.31  4.48  6.57  2.60  159.38   1
105.47  41.77  201.76  238.26  10.69  4.23  11.82  4.68  134.36   1
106.47  42.16  199.09  244.65  8.96  3.55  8.82  3.49  134.67   1
107.48  42.56  196.84  251.13  7.25  2.87  10.40  4.12  150.95   1
108.49  42.96  194.19  257.13  6.84  2.71  11.08  4.39  141.85   1
109.52  43.37  191.04  262.76  7.02  2.78  10.74  4.25  131.19   1
110.56  43.78  187.31  268.16  10.81  4.28  13.38  5.30  80.53   1
111.46  44.14  190.16  273.92  5.79  2.29  18.71  7.41  93.81   1
113.29  44.86  186.16  278.78  5.85  2.32  18.54  7.34  89.05   1
115.14  45.60  180.55  283.14  9.28  3.67  16.49  6.53  70.57   1
117.03  46.34  172.32  286.92  16.59  6.57  12.14  4.81  48.09   1
118.94  47.10  168.88  293.21  22.13  8.76  10.94  4.33  52.47   1
120.07  47.55  167.24  296.85  21.19  8.39  10.93  4.33  50.13   1
122.20  48.39  166.64  303.83  18.48  7.32  11.76  4.66  56.69   1
124.36  49.25  163.49  310.14  19.03  7.54  9.23  3.65  75.38   0
126.57  50.12  161.60  316.98  21.34  8.45  9.42  3.73  50.32   1
128.81  51.01  167.97  325.16  15.08  5.97  15.76  6.24  43.11   1
131.10  51.91  161.83  331.58  16.91  6.70  10.56  4.18  54.88   1
133.42  52.83  164.00  339.01  16.38  6.49  13.61  5.39  60.35   1
135.11  53.50  162.41  343.79  17.25  6.83  12.91  5.11  73.49   1
137.55  54.47  159.27  350.62  18.26  7.23  10.45  4.14  74.05   1
140.04  55.46  157.46  357.80  20.20  8.00  9.87  3.91  74.05   1
142.57  56.46  156.99  365.18  23.56  9.33  10.97  4.35  74.53   1
145.15  57.48  155.89  372.88  27.96  11.07  12.30  4.87  80.62   1
146.53  58.03  159.19  377.18  26.47  10.48  14.77  5.85  83.76   1
148.64  58.86  162.36  383.50  24.15  9.56  18.31  7.25  76.53   1
150.79  59.71  164.85  390.01  24.81  9.82  19.47  7.71  76.18   1
152.96  60.57  166.69  396.80  24.64  9.76  15.99  6.33  63.53   1
155.16  61.44  167.94  403.99  27.49  10.88  11.19  4.43  53.06   1
157.40  62.33  171.37  410.44  27.66  10.95  13.04  5.17  58.28   1
159.09  63.00  183.14  410.09  15.10  5.98  25.71  10.18  67.81   1
162.22  64.24  174.63  420.49  22.44  8.89  13.22  5.23  67.76   1
165.41  65.50  175.08  428.33  23.87  9.45  11.44  4.53  66.28   1
168.67  66.79  176.21  436.24  25.27  10.01  2.34  0.93  29.22   1
171.99  68.11  189.67  438.25  16.19  6.41  32.50  12.87  22.55   1
175.37  69.45  196.36  443.21  12.48  4.94  48.05  19.03  20.34   0
177.72  70.38  184.94  456.20  26.23  10.39  6.59  2.61  33.66   1
180.78  71.59  188.82  462.54  23.09  9.14  7.79  3.08  46.48   1
183.89  72.82  194.06  468.08  20.94  8.29  9.16  3.63  50.32   1
187.06  74.08  197.44  475.10  18.75  7.43  7.30  2.89  72.56   1
190.28  75.35  202.19  481.30  22.10  8.75  6.11  2.42  69.36   1
193.55  76.65  210.22  484.81  14.82  5.87  9.28  3.67  80.27   1
196.88  77.97  216.29  489.99  6.95  2.75  9.03  3.58  130.17   1
198.69  78.68  219.11  494.17  7.74  3.06  9.17  3.63  134.23   1
201.42  79.76  223.06  500.46  9.76  3.87  4.38  1.73  124.77   1
204.18  80.86  232.24  500.76  9.65  3.82  9.54  3.78  49.30   1
206.98  81.96  238.54  504.37  13.67  5.41  11.58  4.59  36.08   1
209.82  83.09  244.53  508.46  16.01  6.34  13.48  5.34  18.78   1
212.70  84.23  247.73  516.82  22.69  8.98  11.81  4.68  9.94   1
215.61  85.38  248.56  529.72  32.16  12.73  1.64  0.65  8.50   0
218.57  86.55  254.83  534.88  17.21  6.81  1.53  0.61  7.41   0
221.57  87.74  263.98  535.17  12.04  4.77  37.20  14.73  16.56   1
