# dist[pix]   dist[pc]   x_peak[pix]    y_peak[pix]   width_left[pix]    width_left[pc]   width_right[pix]  width_right[pc]    peak_flux   good_fit
101.79  40.31  377.45  345.97  4.80  1.90  14.32  5.67  118.59   1
105.86  41.92  382.44  340.39  4.22  1.67  13.39  5.30  129.13   1
110.09  43.60  388.91  336.90  1.57  0.62  6.94  2.75  300.21   0
114.49  45.34  396.08  333.65  5.15  2.04  9.81  3.89  91.98   1
119.07  47.15  399.98  325.87  1.52  0.60  11.69  4.63  88.17   0
123.83  49.04  406.36  320.65  3.77  1.49  10.60  4.20  123.78   1
128.23  50.78  413.11  317.41  4.75  1.88  11.38  4.51  139.37   1
131.34  52.01  420.41  314.14  2.65  1.05  8.06  3.19  252.60   1
134.53  53.27  427.73  310.21  8.66  3.43  10.84  4.29  84.69   1
137.79  54.56  432.08  304.08  7.97  3.16  19.17  7.59  63.38   0
141.13  55.89  422.66  291.40  2.26  0.90  1.52  0.60  31.99   0
143.30  56.75  417.66  282.97  1.52  0.60  12.03  4.76  61.84   0
146.97  58.20  446.85  288.95  19.15  7.58  5.76  2.28  28.63   1
150.73  59.69  449.87  281.67  10.74  4.25  8.99  3.56  36.23   1
154.59  61.22  447.96  272.47  10.67  4.23  11.06  4.38  15.74   1
158.54  62.78  443.63  262.78  1.53  0.60  12.85  5.09  7.77   0
159.28  63.08  452.85  257.90  13.90  5.50  11.62  4.60  13.11   1
159.70  63.24  462.36  248.91  13.59  5.38  1.70  0.67  15.39   0
160.11  63.40  460.82  242.11  31.66  12.54  1.53  0.61  9.67   0
160.53  63.57  456.15  236.27  20.24  8.02  2.32  0.92  23.04   1
160.94  63.73  443.77  233.46  14.64  5.80  12.58  4.98  22.92   1
161.36  63.90  418.51  236.87  1.52  0.60  37.44  14.83  21.26   0
161.78  64.06  439.91  220.92  35.59  14.09  11.67  4.62  13.94   0
162.20  64.23  412.98  227.22  1.54  0.61  37.92  15.02  13.73   0
162.62  64.40  410.37  222.32  1.53  0.61  25.42  10.07  18.74   0
163.04  64.56  405.86  218.56  1.53  0.61  27.38  10.84  16.26   0
