# center_line_x  center_line_y  left_border_x  left_border_y   right_border_x   right_border_y
206.66  233.91  214.33  242.10  202.11  229.05
201.76  238.26  209.90  245.98  193.57  230.49
199.09  244.65  205.81  250.32  192.21  238.87
196.84  251.13  202.89  255.64  188.73  245.09
194.19  257.13  200.07  260.99  185.09  251.15
191.04  262.76  197.18  266.29  181.79  257.44
187.31  268.16  196.65  272.81  175.00  262.02
190.16  273.92  195.61  277.33  174.83  264.35
186.16  278.78  191.10  281.50  169.73  269.76
180.55  283.14  189.08  287.22  165.84  276.10
172.32  286.92  187.63  293.21  161.05  282.29
168.88  293.21  189.39  300.33  158.15  289.49
167.24  296.85  187.24  304.10  157.04  293.16
166.64  303.83  184.14  309.17  155.22  300.35
163.49  310.14  181.84  314.72  154.42  307.88
161.60  316.98  182.20  321.00  152.01  315.10
167.97  325.16  182.91  327.29  152.38  322.95
161.83  331.58  179.02  333.12  151.66  330.67
164.00  339.01  180.01  339.62  150.04  338.48
162.41  343.79  179.50  344.57  149.38  343.21
159.27  350.62  177.40  350.60  148.69  350.63
157.46  357.80  177.50  356.85  147.47  358.28
156.99  365.18  180.49  362.97  146.11  366.20
155.89  372.88  183.88  368.94  144.01  374.56
159.19  377.18  184.76  371.65  144.46  380.36
162.36  383.50  185.24  377.53  144.15  388.26
164.85  390.01  188.33  382.79  145.99  395.80
166.69  396.80  189.87  388.58  151.57  402.16
167.94  403.99  192.94  393.91  157.07  408.37
171.37  410.44  196.57  399.01  159.50  415.82
183.14  410.09  197.97  405.31  159.14  417.84
174.63  420.49  195.27  412.92  161.79  425.20
175.08  428.33  196.86  419.36  164.21  432.81
176.21  436.24  199.03  425.77  173.93  437.29
189.67  438.25  204.28  430.84  160.86  452.87
196.36  443.21  207.76  436.85  154.90  466.35
184.94  456.20  207.22  442.71  179.15  459.70
188.82  462.54  207.67  450.19  181.84  467.11
194.06  468.08  210.62  456.38  186.04  473.75
197.44  475.10  212.27  463.82  191.54  479.59
202.19  481.30  218.77  467.75  196.93  485.60
210.22  484.81  221.31  475.08  203.20  490.98
216.29  489.99  221.45  485.13  209.82  496.08
219.11  494.17  224.45  488.47  212.90  500.82
223.06  500.46  229.67  492.94  220.34  503.56
232.24  500.76  238.24  493.48  226.04  508.29
238.54  504.37  246.73  493.76  231.30  513.74
244.53  508.46  253.68  495.81  236.40  519.69
247.73  516.82  260.33  498.21  240.99  526.77
248.56  529.72  265.35  503.15  247.30  531.72
254.83  534.88  263.51  520.14  254.00  536.29
263.98  535.17  269.72  524.68  246.08  567.87
