# center_line_x  center_line_y  left_border_x  left_border_y   right_border_x   right_border_y
377.45  345.97  375.24  341.74  384.09  358.69
382.44  340.39  380.27  336.78  389.34  351.86
388.91  336.90  388.02  335.62  392.84  342.62
396.08  333.65  393.03  329.75  402.24  341.53
399.98  325.87  398.40  324.09  407.15  333.97
406.36  320.65  403.80  318.09  413.97  328.26
413.11  317.41  408.90  314.40  422.03  323.76
420.41  314.14  417.57  312.32  426.58  318.10
427.73  310.21  419.82  305.65  436.72  315.39
432.08  304.08  425.00  300.45  449.15  312.84
422.66  291.40  420.25  290.30  423.69  291.86
417.66  282.97  416.19  282.23  428.31  288.29
446.85  288.95  430.04  281.45  452.78  291.61
449.87  281.67  439.59  277.60  457.94  284.87
447.96  272.47  437.84  268.96  458.37  276.08
443.63  262.78  441.88  262.25  455.65  266.37
452.85  257.90  439.49  260.57  464.52  255.58
462.36  248.91  449.08  252.11  463.94  248.53
460.82  242.11  430.38  250.69  462.32  241.68
456.15  236.27  436.80  242.55  458.26  235.58
443.77  233.46  430.31  238.42  455.86  229.01
418.51  236.87  416.47  237.71  452.48  222.83
439.91  220.92  407.91  235.63  450.85  215.89
412.98  227.22  411.02  228.21  446.20  210.35
410.37  222.32  408.21  223.53  431.75  210.40
405.86  218.56  404.49  219.39  429.17  204.34
