# Fit results:
# amplitude = 43.1074
# peak_pos[pc] = 9.8974
# width_left[pc] = 5.9724
# width_right[pc] = 6.2393
# chi_sq = 2.972
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.85    2.08    0.00
   0.27    0.26    2.47    0.68
   0.54    0.59    3.00    1.36
   0.81    0.87    3.31    2.03
   1.07    2.01    3.33    2.71
   1.34    3.35    2.90    3.39
   1.61    4.85    2.37    4.07
   1.88    7.16    2.04    4.75
   2.15    9.22    1.82    5.42
   2.42   10.57    1.86    6.10
   2.69   11.27    1.91    6.78
   2.95   12.87    1.99    7.46
   3.22   14.40    1.99    8.14
   3.49   15.47    1.85    8.82
   3.76   16.48    2.03    9.49
   4.03   18.15    2.58   10.17
   4.30   19.95    3.07   10.85
   4.56   23.26    3.61   11.53
   4.83   25.79    4.42   12.21
   5.10   27.71    5.45   12.88
   5.37   29.44    6.33   13.56
   5.64   30.21    6.75   14.24
   5.91   30.43    6.61   14.92
   6.18   30.70    6.25   15.60
   6.44   31.69    5.97   16.27
   6.71   31.48    5.72   16.95
   6.98   32.89    5.52   17.63
   7.25   33.15    5.30   18.31
   7.52   34.51    5.17   18.99
   7.79   35.30    4.91   19.66
   8.06   36.28    4.41   20.34
   8.32   38.11    3.64   21.02
   8.59   39.92    3.18   21.70
   8.86   41.88    3.86   22.38
   9.13   41.60    4.63   23.05
   9.40   42.69    4.64   23.73
   9.67   42.27    4.12   24.41
   9.94   42.75    3.81   25.09
  10.20   42.99    4.43   25.77
  10.47   42.19    5.76   26.45
  10.74   41.75    7.98   27.12
  11.01   41.14   10.96   27.80
  11.28   40.91   13.99   28.48
  11.55   40.16   16.67   29.16
  11.81   39.86   18.67   29.84
  12.08   40.04   19.89   30.51
  12.35   39.19   19.64   31.19
  12.62   38.04   18.32   31.87
  12.89   36.65   16.54   32.55
  13.16   34.59   14.05   33.23
  13.43   32.21   11.10   33.90
  13.69   30.67    8.44   34.58
  13.96   27.89    6.56   35.26
  14.23   26.28    5.62   35.94
  14.50   25.58    5.78   36.62
  14.77   22.56    6.23   37.29
  15.04   21.04    6.58   37.97
  15.31   18.67    6.47   38.65
  15.57   16.62    6.10   39.33
  15.84   15.15    5.37   40.01
  16.11   14.24    4.65   40.68
  16.38   12.35    4.20   41.36
  16.65   11.16    4.02   42.04
  16.92   10.32    4.06   42.72
  17.19    9.95    4.31   43.40
  17.45   10.32    4.54   44.08
  17.72    9.18    4.36   44.75
  17.99    8.67    4.20   45.43
  18.26    8.23    4.08   46.11
  18.53    8.05    3.74   46.79
  18.80    7.68    3.30   47.47
  19.06    6.44    2.79   48.14
  19.33    5.43    2.41   48.82
  19.60    4.29    2.15   49.50
  19.87    2.97    1.90   50.18
  20.14    2.02    1.84   50.86
  20.41    1.40    1.94   51.53
  20.68    1.46    2.04   52.21
  20.94    1.58    2.18   52.89
  21.21    0.88    2.28   53.57
  21.48    0.38    2.32   54.25
  21.75   -0.05    2.23   54.92
