# Fit results:
# amplitude = 84.8423
# peak_pos[pc] = 9.7163
# width_left[pc] = 3.4297
# width_right[pc] = 4.2930
# chi_sq = 60.213
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -2.49   10.37    0.00
   0.27    0.28   11.37    0.68
   0.54    2.21   13.06    1.36
   0.80    7.38   15.75    2.03
   1.07   13.89   19.02    2.71
   1.34   18.88   22.33    3.39
   1.61   21.13   24.61    4.07
   1.88   20.58   24.42    4.74
   2.15   19.41   22.38    5.42
   2.41   18.29   18.54    6.10
   2.68   18.10   12.98    6.78
   2.95   17.65    7.39    7.45
   3.22   16.90    3.47    8.13
   3.49   15.51    1.86    8.81
   3.76   13.49    1.52    9.49
   4.02   12.08    1.41   10.16
   4.29   11.35    1.34   10.84
   4.56   11.94    1.29   11.52
   4.83   12.99    1.46   12.20
   5.10   13.46    1.73   12.87
   5.37   15.18    2.14   13.55
   5.63   17.32    2.83   14.23
   5.90   20.55    3.83   14.91
   6.17   25.80    5.53   15.58
   6.44   33.15    8.23   16.26
   6.71   41.26   11.69   16.94
   6.98   49.15   15.83   17.62
   7.24   57.26   22.13   18.30
   7.51   67.84   31.07   18.97
   7.78   76.65   41.27   19.65
   8.05   83.53   51.07   20.33
   8.32   90.33   59.83   21.01
   8.59  106.66   66.90   21.68
   8.85  114.35   70.15   22.36
   9.12  114.11   67.68   23.04
   9.39  115.40   57.96   23.72
   9.66  108.72   45.14   24.39
   9.93   99.35   37.66   25.07
  10.20   89.83   37.74   25.75
  10.46   80.31   41.77   26.43
  10.73   68.56   47.18   27.10
  11.00   63.37   52.40   27.78
  11.27   58.94   56.14   28.46
  11.54   53.63   56.94   29.14
  11.81   48.50   54.23   29.81
  12.07   44.17   47.32   30.49
  12.34   41.01   35.17   31.17
  12.61   37.86   23.50   31.85
  12.88   35.38   15.63   32.52
  13.15   34.72    9.98   33.20
  13.42   34.48    4.80   33.88
  13.68   35.43    3.91   34.56
  13.95   32.40    8.12   35.24
  14.22   29.82   12.94   35.91
  14.49   28.56   17.60   36.59
  14.76   28.02   21.27   37.27
  15.03   27.68   22.63   37.95
  15.29   26.24   22.54   38.62
  15.56   22.98   22.04   39.30
  15.83   20.17   21.36   39.98
  16.10   18.15   19.86   40.66
  16.37   15.17   17.94   41.33
  16.64   11.05   16.25   42.01
  16.90    6.18   14.77   42.69
  17.17    4.47   12.83   43.37
  17.44    2.17   10.27   44.04
  17.71   -0.17    8.01   44.72
  17.98    0.47    6.49   45.40
